chromosome,genomic_accession,start,end,strand,class,locus_tag,,name,GeneID
chr12,NC_000012.12,48413154,48496524,+,protein_coding,,C12orf54,chromosome 12 open reading frame 54,121273
chr12,NC_000012.12,48417150,48417337,-,pseudogene,,OR8S21P,olfactory receptor family 8 subfamily S member 21 pseudogene,403304
chr12,NC_000012.12,48442032,48442946,-,pseudogene,,OR8T1P,olfactory receptor family 8 subfamily T member 1 pseudogene,282791
chr12,NC_000012.12,48472559,48473622,+,protein_coding,,ANP32D,acidic nuclear phosphoprotein 32 family member D,23519
chr12,NC_000012.12,48487913,48488487,+,pseudogene,,RPS10P20,ribosomal protein S10 pseudogene 20,100271547
chr12,NC_000012.12,48525632,48526570,+,protein_coding,,OR8S1,olfactory receptor family 8 subfamily S member 1,341568
chr12,NC_000012.12,48559882,48562956,+,protein_coding,,OR5BS1P,olfactory receptor family 5 subfamily BS member 1 pseudogene,390313
chr12,NC_000012.12,48567684,48571845,-,protein_coding,,LALBA,lactalbumin alpha,3906
chr12,NC_000012.12,48627841,48628813,+,pseudogene,,OR11M1P,olfactory receptor family 11 subfamily M member 1 pseudogene,121270
chr12,NC_000012.12,48638310,48643651,-,protein_coding,,LOC124902928,uncharacterized LOC124902928,124902928
chr12,NC_000012.12,48653211,48682238,-,protein_coding,,KANSL2,KAT8 regulatory NSL complex subunit 2,54934
chr12,NC_000012.12,48654382,48654518,-,snoRNA,,SNORA2C,"small nucleolar RNA, H/ACA box 2C",677815
chr12,NC_000012.12,48654444,48654530,-,miRNA,,MIR1291,microRNA 1291,100302221
chr12,NC_000012.12,48656648,48656782,-,snoRNA,,SNORA2A,"small nucleolar RNA, H/ACA box 2A",677793
chr12,NC_000012.12,48667457,48667593,-,snoRNA,,SNORA2B,"small nucleolar RNA, H/ACA box 2B",677794
chr12,NC_000012.12,48688458,48716707,-,protein_coding,,CCNT1,cyclin T1,904
chr12,NC_000012.12,48727435,48771459,+,protein_coding,,SPMIP11,sperm microtubule inner protein 11,255411
chr12,NC_000012.12,48766194,48789974,-,protein_coding,,ADCY6,adenylate cyclase 6,112
chr12,NC_000012.12,48771975,48772037,-,miRNA,,MIR4701,microRNA 4701,100616262
chr12,NC_000012.12,48789147,48790535,+,lncRNA,,ADCY6-DT,ADCY6 divergent transcript,100506125
chr12,NC_000012.12,48800375,48801258,-,pseudogene,,LOC390314,chromosome 20 open reading frame 27 pseudogene,390314
chr12,NC_000012.12,48813762,48816932,-,lncRNA,,LOC101927241,uncharacterized LOC101927241,101927241
chr12,NC_000012.12,48814480,48828941,+,protein_coding,,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3,784
chr12,NC_000012.12,48829756,48852163,-,protein_coding,,DDX23,DEAD-box helicase 23,9416
chr12,NC_000012.12,48851721,48852549,+,lncRNA,,LOC105369755,uncharacterized LOC105369755,105369755
chr12,NC_000012.12,48857145,48865870,-,protein_coding,,RND1,Rho family GTPase 1,27289
chr12,NC_000012.12,48892130,48892228,-,pseudogene,,RNU6-600P,"RNA, U6 small nuclear 600, pseudogene",106479831
chr12,NC_000012.12,48903368,48903818,-,pseudogene,,RPL32P27,ribosomal protein L32 pseudogene 27,100271306
chr12,NC_000012.12,48904133,48921576,+,protein_coding,,CCDC65,coiled-coil domain containing 65,85478
chr12,NC_000012.12,48921963,48939034,-,protein_coding,,FKBP11,FKBP prolyl isomerase 11,51303
chr12,NC_000012.12,48935723,48957487,-,protein_coding,,ARF3,ADP ribosylation factor 3,377
chr12,NC_000012.12,48960738,48960836,-,snoRNA,,LOC124903110,small nucleolar RNA U13,124903110
chr12,NC_000012.12,48965340,48971735,-,protein_coding,,WNT10B,Wnt family member 10B,7480
chr12,NC_000012.12,48975543,48975646,+,pseudogene,,RNU6-940P,"RNA, U6 small nuclear 940, pseudogene",106479982
chr12,NC_000012.12,48978322,48982620,+,protein_coding,,WNT1,Wnt family member 1,7471
chr12,NC_000012.12,48982357,48987074,-,lncRNA,,LOC105369757,uncharacterized LOC105369757,105369757
chr12,NC_000012.12,48987781,48988743,+,lncRNA,,LOC105369756,uncharacterized LOC105369756,105369756
chr12,NC_000012.12,48995149,48999375,-,protein_coding,,DDN,dendrin,23109
chr12,NC_000012.12,48998347,49019240,+,lncRNA,,DDN-AS1,DDN and PRKAG1 antisense RNA 1,105369758
chr12,NC_000012.12,49002274,49018776,-,protein_coding,,PRKAG1,protein kinase AMP-activated non-catalytic subunit gamma 1,5571
chr12,NC_000012.12,49018978,49060794,-,protein_coding,,KMT2D,lysine methyltransferase 2D,8085
chr12,NC_000012.12,49064676,49069979,-,protein_coding,,RHEBL1,RHEB like 1,121268
chr12,NC_000012.12,49086656,49094801,-,protein_coding,,DHH,desert hedgehog signaling molecule,50846
chr12,NC_000012.12,49092080,49095744,+,lncRNA,,LOC105369759,uncharacterized LOC105369759,105369759
chr12,NC_000012.12,49097139,49110847,-,protein_coding,,LMBR1L,limb development membrane protein 1 like,55716
chr12,NC_000012.12,49127782,49131395,-,protein_coding,,TUBA1B,tubulin alpha 1b,10376
chr12,NC_000012.12,49131606,49147863,+,lncRNA,,TUBA1B-AS1,TUBA1B antisense RNA 1,105369760
chr12,NC_000012.12,49184795,49189080,-,protein_coding,,TUBA1A,tubulin alpha 1a,7846
chr12,NC_000012.12,49227926,49274600,+,protein_coding,,TUBA1C,tubulin alpha 1c,84790
chr12,NC_000012.12,49292631,49324576,-,lncRNA,,TROAP-AS1,TROAP and PRPH antisense RNA 1,101927267
chr12,NC_000012.12,49295147,49298686,+,protein_coding,,PRPH,peripherin,5630
chr12,NC_000012.12,49323255,49331731,+,protein_coding,,TROAP,trophinin associated protein,10024
chr12,NC_000012.12,49332409,49337188,-,protein_coding,,C1QL4,complement C1q like 4,338761
chr12,NC_000012.12,49346888,49353690,+,protein_coding,,DNAJC22,DnaJ heat shock protein family (Hsp40) member C22,79962
chr12,NC_000012.12,49366852,49527425,+,protein_coding,,SPATS2,spermatogenesis associated serine rich 2,65244
chr12,NC_000012.12,49389174,49392335,+,transcribed_pseudogene,,LOC100335030,FGFR1 oncogene partner 2 pseudogene,100335030
chr12,NC_000012.12,49539030,49558337,+,protein_coding,,KCNH3,potassium voltage-gated channel subfamily H member 3,23416
chr12,NC_000012.12,49550281,49553199,-,lncRNA,,LOC105369761,uncharacterized LOC105369761,105369761
chr12,NC_000012.12,49558299,49568142,-,protein_coding,,MCRS1,microspherule protein 1,10445
chr12,NC_000012.12,49582873,49622758,-,protein_coding,,FAM186B,family with sequence similarity 186 member B,84070
chr12,NC_000012.12,49593104,49593213,+,pseudogene,,RNU6-834P,"RNA, U6 small nuclear 834, pseudogene",106479935
chr12,NC_000012.12,49594080,49594458,+,pseudogene,,POLR2KP1,RNA polymerase II subunit K pseudogene 1,100874515
chr12,NC_000012.12,49595149,49595697,+,pseudogene,,PARK7P1,PARK7 pseudogene 1,100422296
chr12,NC_000012.12,49619267,49619675,+,pseudogene,,HIGD1AP9,HIG1 hypoxia inducible domain family member 1A pseudogene 9,100874452
chr12,NC_000012.12,49622646,49644665,+,protein_coding,,PRPF40B,pre-mRNA processing factor 40 homolog B,25766
chr12,NC_000012.12,49636499,49707405,-,protein_coding,,FMNL3,formin like 3,91010
chr12,NC_000012.12,49707726,49731449,+,lncRNA,,LOC124902929,uncharacterized LOC124902929,124902929
chr12,NC_000012.12,49709002,49709464,+,pseudogene,,COX5BP5,cytochrome c oxidase subunit 5B pseudogene 5,100288440
chr12,NC_000012.12,49741557,49764934,+,protein_coding,,TMBIM6,transmembrane BAX inhibitor motif containing 6,7009
chr12,NC_000012.12,49770897,49771136,+,pseudogene,,LSM6P2,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated pseudogene 2",100462857
chr12,NC_000012.12,49791152,49828413,-,protein_coding,,NCKAP5L,NCK associated protein 5 like,57701
chr12,NC_000012.12,49817407,49817481,-,pseudogene,,NMTRQ-TTG6-1,nuclear-encoded mitochondrial tRNA-Gln (TTG) 6-1,100189510
chr12,NC_000012.12,49828543,49841154,+,lncRNA,,BCDIN3D-AS1,BCDIN3D antisense RNA 1,100286844
chr12,NC_000012.12,49836043,49843106,-,protein_coding,,BCDIN3D,BCDIN3 domain containing RNA methyltransferase,144233
chr12,NC_000012.12,49863110,49863541,+,pseudogene,,RPL35AP28,ribosomal protein L35a pseudogene 28,100271637
chr12,NC_000012.12,49866896,49903900,-,protein_coding,,FAIM2,Fas apoptotic inhibitory molecule 2,23017
chr12,NC_000012.12,49908882,49911863,-,lncRNA,,LINC02396,long intergenic non-protein coding RNA 2396,283332
chr12,NC_000012.12,49911953,49926339,+,lncRNA,,LINC02395,long intergenic non-protein coding RNA 2395,101927292
chr12,NC_000012.12,49930824,49945707,-,lncRNA,,LOC124902930,uncharacterized LOC124902930,124902930
chr12,NC_000012.12,49943245,49946923,+,lncRNA,,LOC105369763,uncharacterized LOC105369763,105369763
chr12,NC_000012.12,49950737,49958878,+,protein_coding,,AQP2,aquaporin 2,359
chr12,NC_000012.12,49951512,49962924,-,lncRNA,,AQP5-AS1,AQP5 and AQP2 antisense RNA 2,101927318
chr12,NC_000012.12,49961872,49965682,+,protein_coding,,AQP5,aquaporin 5,362
chr12,NC_000012.12,49964502,49975505,-,lncRNA,,LOC105369764,uncharacterized LOC105369764,105369764
chr12,NC_000012.12,49972947,49977139,+,protein_coding,,AQP6,aquaporin 6,363
chr12,NC_000012.12,49989162,50033440,-,protein_coding,,RACGAP1,Rac GTPase activating protein 1,29127
chr12,NC_000012.12,50057596,50083622,+,protein_coding,,ASIC1,acid sensing ion channel subunit 1,41
chr12,NC_000012.12,50085342,50100707,+,protein_coding,,SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",6602
chr12,NC_000012.12,50104008,50111313,+,protein_coding,,GPD1,glycerol-3-phosphate dehydrogenase 1,2819
chr12,NC_000012.12,50112236,50120453,+,protein_coding,,COX14,cytochrome c oxidase assembly factor COX14,84987
chr12,NC_000012.12,50129289,50167369,-,protein_coding,,CERS5,ceramide synthase 5,91012
chr12,NC_000012.12,50143200,50165623,+,lncRNA,,LOC124902931,uncharacterized LOC124902931,124902931
chr12,NC_000012.12,50175788,50283520,-,protein_coding,,LIMA1,LIM domain and actin binding 1,51474
chr12,NC_000012.12,50234142,50234212,-,miRNA,,MIR1293,microRNA 1293,100302220
chr12,NC_000012.12,50256238,50256344,-,pseudogene,,RNU6-1093P,"RNA, U6 small nuclear 1093, pseudogene",106481524
chr12,NC_000012.12,50283621,50296467,+,lncRNA,,LOC107984505,uncharacterized LOC107984505,107984505
chr12,NC_000012.12,50287732,50288274,+,pseudogene,,LOC100418734,KIAA1586 pseudogene,100418734
chr12,NC_000012.12,50327309,50396609,-,protein_coding,,FAM186A,family with sequence similarity 186 member A,121006
chr12,NC_000012.12,50365610,50366130,+,pseudogene,,RPL26P33,ribosomal protein L26 pseudogene 33,100132547
chr12,NC_000012.12,50400885,50480004,+,protein_coding,,LARP4,La ribonucleoprotein 4,113251
chr12,NC_000012.12,50456571,50456786,+,snoRNA,,SNORD133,"small nucleolar RNA, C/D box 133",106633800
chr12,NC_000012.12,50488484,50488566,-,pseudogene,,LOC124903127,uncharacterized LOC124903127,124903127
chr12,NC_000012.12,50504985,50748657,+,protein_coding,,DIP2B,disco interacting protein 2 homolog B,57609
chr12,NC_000012.12,50633273,50633376,+,pseudogene,,RNU6-769P,"RNA, U6 small nuclear 769, pseudogene",106479906
chr12,NC_000012.12,50656973,50657072,+,pseudogene,,RNU6-238P,"RNA, U6 small nuclear 238, pseudogene",106481253
chr12,NC_000012.12,50743576,50757650,-,lncRNA,,LOC124902932,uncharacterized LOC124902932,124902932
chr12,NC_000012.12,50763459,50821162,+,protein_coding,,ATF1,activating transcription factor 1,466
chr12,NC_000012.12,50841498,50841785,-,pseudogene,,RN7SL519P,"RNA, 7SL, cytoplasmic 519, pseudogene",106479412
chr12,NC_000012.12,50842926,50887884,+,protein_coding,,TMPRSS12,transmembrane serine protease 12,283471
chr12,NC_000012.12,50925015,50932508,+,protein_coding,,TMT1A,thiol methyltransferase 1A,25840
chr12,NC_000012.12,50931110,50972592,+,protein_coding,,HIGD1C,HIG1 hypoxia inducible domain family member 1C,613227
chr12,NC_000012.12,50952263,51028886,-,protein_coding,,SLC11A2,solute carrier family 11 member 2,4891
chr12,NC_000012.12,51010999,51011057,+,pseudogene,,RNU7-39P,"RNA, U7 small nuclear 39 pseudogene",100147826
chr12,NC_000012.12,51014134,51014241,-,pseudogene,,RNU6-87P,"RNA, U6 small nuclear 87, pseudogene",106481204
chr12,NC_000012.12,51037499,51037602,+,pseudogene,,RNU6-1273P,"RNA, U6 small nuclear 1273, pseudogene",106481947
chr12,NC_000012.12,51048220,51068958,+,protein_coding,,LETMD1,LETM1 domain containing 1,25875
chr12,NC_000012.12,51061205,51083596,-,protein_coding,,CSRNP2,cysteine and serine rich nuclear protein 2,81566
chr12,NC_000012.12,51093656,51173135,-,protein_coding,,TFCP2,transcription factor CP2,7024
chr12,NC_000012.12,51106822,51107144,+,pseudogene,,RPL35AP29,ribosomal protein L35a pseudogene 29,100271638
chr12,NC_000012.12,51124435,51125468,-,pseudogene,,PHB1P19,PHB1 pseudogene 19,494150
chr12,NC_000012.12,51162901,51163007,+,pseudogene,,RNU6-199P,"RNA, U6 small nuclear 199, pseudogene",106481881
chr12,NC_000012.12,51174555,51181634,+,lncRNA,,LOC124902933,uncharacterized LOC124902933,124902933
chr12,NC_000012.12,51186936,51218062,-,protein_coding,,POU6F1,POU class 6 homeobox 1,5463
chr12,NC_000012.12,51238826,51246717,+,protein_coding,,DAZAP2,DAZ associated protein 2,9802
chr12,NC_000012.12,51244558,51270415,-,protein_coding,,SMAGP,small cell adhesion glycoprotein,57228
chr12,NC_000012.12,51281038,51324668,-,protein_coding,,BIN2,bridging integrator 2,51411
chr12,NC_000012.12,51322368,51324008,-,lncRNA,,LOC105369767,uncharacterized LOC105369767,105369767
chr12,NC_000012.12,51328442,51346679,-,protein_coding,,CELA1,chymotrypsin like elastase 1,1990
chr12,NC_000012.12,51351252,51391673,-,protein_coding,,GALNT6,polypeptide N-acetylgalactosaminyltransferase 6,11226
chr12,NC_000012.12,51391446,51515763,+,protein_coding,,SLC4A8,solute carrier family 4 member 8,9498
chr12,NC_000012.12,51421899,51425328,-,lncRNA,,SLC4A8-AS1,SLC4A8 antisense RNA 1,107984508
chr12,NC_000012.12,51591233,51812864,+,protein_coding,,SCN8A,sodium voltage-gated channel alpha subunit 8,6334
chr12,NC_000012.12,51712487,51713656,-,pseudogene,,HNRNPA3P10,heterogeneous nuclear ribonucleoprotein A3 pseudogene 10,100421413
chr12,NC_000012.12,51813921,51814925,-,protein_coding,,TMDD1,transmembrane and death domain 1,112163659
chr12,NC_000012.12,51817899,51848718,-,protein_coding,,FIGNL2,fidgetin like 2,401720
chr12,NC_000012.12,51848223,51852729,+,lncRNA,,FIGNL2-DT,FIGNL2 divergent transcript,105369971
chr12,NC_000012.12,51888103,51891727,+,protein_coding,,ANKRD33,ankyrin repeat domain 33,341405
chr12,NC_000012.12,51892389,51901414,+,pseudogene,,LOC102724178,filamin-B-like,102724178
chr12,NC_000012.12,51906944,51923361,+,protein_coding,,ACVRL1,activin A receptor like type 1,94
chr12,NC_000012.12,51951699,51997078,+,protein_coding,,ACVR1B,activin A receptor type 1B,91
chr12,NC_000012.12,51987657,51987763,+,pseudogene,,RNU6-574P,"RNA, U6 small nuclear 574, pseudogene",106479820
chr12,NC_000012.12,52006250,52007655,-,lncRNA,,TAMALIN-AS1,TAMALIN antisense RNA 1,692159
chr12,NC_000012.12,52006946,52015889,+,protein_coding,,TAMALIN,trafficking regulator and scaffold protein tamalin,160622
chr12,NC_000012.12,52016543,52033473,+,lncRNA,,LOC124902934,uncharacterized LOC124902934,124902934
chr12,NC_000012.12,52022832,52059503,+,protein_coding,,NR4A1,nuclear receptor subfamily 4 group A member 1,3164
chr12,NC_000012.12,52048605,52051154,-,lncRNA,,LOC107984510,uncharacterized LOC107984510,107984510
chr12,NC_000012.12,52058750,52059500,-,lncRNA,,NR4A1AS,NR4A1 antisense RNA,115409980
chr12,NC_000012.12,52065300,52077495,+,protein_coding,,ATG101,autophagy related 101,60673
chr12,NC_000012.12,52079704,52108255,+,protein_coding,,SMIM41,small integral membrane protein 41,113523638
chr12,NC_000012.12,52084746,52108319,+,transcribed_pseudogene,,OR7E47P,olfactory receptor family 7 subfamily E member 47 pseudogene,26628
chr12,NC_000012.12,52089212,52118218,-,lncRNA,,LOC112268096,uncharacterized LOC112268096,112268096
chr12,NC_000012.12,52168996,52192014,-,protein_coding,,KRT80,keratin 80,144501
chr12,NC_000012.12,52204823,52213583,-,lncRNA,,LINC02874,long intergenic non-protein coding RNA 2874,283403
chr12,NC_000012.12,52210930,52223880,+,lncRNA,,LINC00592,long intergenic non-protein coding RNA 592,283404
chr12,NC_000012.12,52228707,52233281,-,pseudogene,,TMT1AP1,thiol methyltransferase 1A pseudogene 1,100996686
chr12,NC_000012.12,52233243,52255853,+,protein_coding,,KRT7,keratin 7,3855
chr12,NC_000012.12,52245043,52247448,-,lncRNA,,KRT7-AS,KRT7 antisense RNA 1,109729127
chr12,NC_000012.12,52250544,52258508,-,transcribed_pseudogene,,KRT87P,"keratin 87, pseudogene",85349
chr12,NC_000012.12,52263781,52268497,+,pseudogene,,KRT88P,"keratin 88, pseudogene",85348
chr12,NC_000012.12,52274645,52309163,+,protein_coding,,KRT86,keratin 86,3892
chr12,NC_000012.12,52285913,52291534,-,protein_coding,,KRT81,keratin 81,3887
chr12,NC_000012.12,52311110,52311979,+,lncRNA,,LOC124902935,uncharacterized LOC124902935,124902935
chr12,NC_000012.12,52314301,52321398,-,protein_coding,,KRT83,keratin 83,3889
chr12,NC_000012.12,52344219,52353154,+,pseudogene,,KRT89P,"keratin 89, pseudogene",85344
chr12,NC_000012.12,52360006,52367481,-,protein_coding,,KRT85,keratin 85,3891
chr12,NC_000012.12,52377812,52386977,-,protein_coding,,KRT84,keratin 84,3890
chr12,NC_000012.12,52393931,52406335,-,protein_coding,,KRT82,keratin 82,3888
chr12,NC_000012.12,52413861,52419240,-,pseudogene,,KRT90P,"keratin 90, pseudogene",85340
chr12,NC_000012.12,52424070,52434371,-,protein_coding,,KRT75,keratin 75,9119
chr12,NC_000012.12,52446651,52452146,-,protein_coding,,KRT6B,keratin 6B,3854
chr12,NC_000012.12,52468516,52473805,-,protein_coding,,KRT6C,keratin 6C,286887
chr12,NC_000012.12,52487176,52493257,-,protein_coding,,KRT6A,keratin 6A,3853
chr12,NC_000012.12,52514575,52520394,-,protein_coding,,KRT5,keratin 5,3852
chr12,NC_000012.12,52543909,52553145,-,protein_coding,,KRT71,keratin 71,112802
chr12,NC_000012.12,52565782,52573843,-,protein_coding,,KRT74,keratin 74,121391
chr12,NC_000012.12,52585589,52602953,-,protein_coding,,KRT72,keratin 72,140807
chr12,NC_000012.12,52607570,52630761,-,protein_coding,,KRT73,keratin 73,319101
chr12,NC_000012.12,52609851,52615305,+,lncRNA,,KRT73-AS1,KRT73 antisense RNA 1,100127967
chr12,NC_000012.12,52632866,52634456,-,pseudogene,,KRT128P,"keratin 128, pseudogene",106480238
chr12,NC_000012.12,52644558,52652211,-,protein_coding,,KRT2,keratin 2,3849
chr12,NC_000012.12,52674736,52680407,-,protein_coding,,KRT1,keratin 1,3848
chr12,NC_000012.12,52689626,52703524,-,protein_coding,,KRT77,keratin 77,374454
chr12,NC_000012.12,52714138,52721803,-,pseudogene,,KRT126P,"keratin 126, pseudogene",643865
chr12,NC_000012.12,52730370,52733062,+,pseudogene,,LOC400036,DEAD-box helicase 23 pseudogene,400036
chr12,NC_000012.12,52735287,52735971,-,pseudogene,,KRT125P,"keratin 125, pseudogene",100418828
chr12,NC_000012.12,52748759,52750324,+,pseudogene,,BTBD10P1,BTB domain containing 10 pseudogene 1,100128678
chr12,NC_000012.12,52753311,52754048,-,pseudogene,,KRT127P,"keratin 127, pseudogene",100418779
chr12,NC_000012.12,52763357,52764092,+,pseudogene,,ARL2BPP2,ADP ribosylation factor like GTPase 2 binding protein pseudogene 2,643898
chr12,NC_000012.12,52768155,52777345,-,protein_coding,,KRT76,keratin 76,51350
chr12,NC_000012.12,52789685,52796117,-,protein_coding,,KRT3,keratin 3,3850
chr12,NC_000012.12,52806549,52814116,-,protein_coding,,KRT4,keratin 4,3851
chr12,NC_000012.12,52821408,52834311,-,protein_coding,,KRT79,keratin 79,338785
chr12,NC_000012.12,52837804,52848994,-,protein_coding,,KRT78,keratin 78,196374
chr12,NC_000012.12,52885759,52886409,+,pseudogene,,RPL7P41,ribosomal protein L7 pseudogene 41,100271222
chr12,NC_000012.12,52897191,52949860,-,protein_coding,,KRT8,keratin 8,3856
chr12,NC_000012.12,52898889,52898984,-,miRNA,,MIR9898,microRNA 9898,113218482
chr12,NC_000012.12,52948855,52952906,+,protein_coding,,KRT18,keratin 18,3875
chr12,NC_000012.12,53006456,53042215,+,protein_coding,,EIF4B,eukaryotic translation initiation factor 4B,1975
chr12,NC_000012.12,53043189,53054438,-,lncRNA,,TNS2-AS1,TNS2 antisense RNA 1,283335
chr12,NC_000012.12,53046991,53064379,+,protein_coding,,TNS2,tensin 2,23371
chr12,NC_000012.12,53056944,53057012,+,miRNA,,MIR6757,microRNA 6757,102466193
chr12,NC_000012.12,53064316,53079390,-,protein_coding,,SPRYD3,SPRY domain containing 3,84926
chr12,NC_000012.12,53097667,53102340,+,protein_coding,,IGFBP6,insulin like growth factor binding protein 6,3489
chr12,NC_000012.12,53103486,53124535,+,protein_coding,,SOAT2,sterol O-acyltransferase 2,8435
chr12,NC_000012.12,53106632,53115531,-,lncRNA,,LOC124902936,uncharacterized LOC124902936,124902936
chr12,NC_000012.12,53131259,53132186,+,pseudogene,,VTI1BP3,vesicle transport through interaction with t-SNAREs 1B pseudogene 3,100127976
chr12,NC_000012.12,53138546,53138651,-,pseudogene,,RNU6-333P,"RNA, U6 small nuclear 333, pseudogene",106480571
chr12,NC_000012.12,53141976,53143304,+,pseudogene,,HIGD1AP1,HIG1 hypoxia inducible domain family member 1A pseudogene 1,100129086
chr12,NC_000012.12,53153258,53154630,+,pseudogene,,EIF4A1P4,eukaryotic translation initiation factor 4A1 pseudogene 4,728698
chr12,NC_000012.12,53157663,53181351,-,protein_coding,,CSAD,cysteine sulfinic acid decarboxylase,51380
chr12,NC_000012.12,53180722,53195142,+,protein_coding,,ZNF740,zinc finger protein 740,283337
chr12,NC_000012.12,53191323,53207251,-,protein_coding,,ITGB7,integrin subunit beta 7,3695
chr12,NC_000012.12,53210569,53232209,-,protein_coding,,RARG,retinoic acid receptor gamma,5916
chr12,NC_000012.12,53241900,53242722,+,protein_coding,,LOC122455340,uncharacterized LOC122455340,122455340
chr12,NC_000012.12,53251197,53254406,+,protein_coding,,MFSD5,major facilitator superfamily domain containing 5,84975
chr12,NC_000012.12,53268299,53293638,+,protein_coding,,ESPL1,"extra spindle pole bodies like 1, separase",9700
chr12,NC_000012.12,53295542,53299450,+,protein_coding,,PFDN5,prefoldin subunit 5,5204
chr12,NC_000012.12,53299695,53307177,+,protein_coding,,MYG1,MYG1 exonuclease,60314
chr12,NC_000012.12,53307460,53321610,-,protein_coding,,AAAS,aladin WD repeat nucleoporin,8086
chr12,NC_000012.12,53326575,53344793,-,protein_coding,,SP7,Sp7 transcription factor,121340
chr12,NC_000012.12,53380176,53416446,+,protein_coding,,SP1,Sp1 transcription factor,6667
chr12,NC_000012.12,53423855,53431672,+,protein_coding,,AMHR2,anti-Mullerian hormone receptor type 2,269
chr12,NC_000012.12,53441734,53446638,+,protein_coding,,PRR13,proline rich 13,54458
chr12,NC_000012.12,53452102,53481162,+,protein_coding,,PCBP2,poly(rC) binding protein 2,5094
chr12,NC_000012.12,53464468,53465057,+,lncRNA,,PCBP2-OT1,PCBP2 overlapping transcript 1,102157401
chr12,NC_000012.12,53479669,53501539,-,protein_coding,,MAP3K12,mitogen-activated protein kinase kinase kinase 12,7786
chr12,NC_000012.12,53500923,53506431,+,protein_coding,,TARBP2,TARBP2 subunit of RISC loading complex,6895
chr12,NC_000012.12,53506688,53626382,-,protein_coding,,ATF7-NPFF,ATF7-NPFF readthrough,114108587
chr12,NC_000012.12,53506688,53507484,-,protein_coding,,NPFF,neuropeptide FF-amide peptide precursor,8620
chr12,NC_000012.12,53507856,53626382,-,protein_coding,,ATF7,activating transcription factor 7,11016
chr12,NC_000012.12,53513984,53517608,+,lncRNA,,LOC100652999,uncharacterized LOC100652999,100652999
chr12,NC_000012.12,53535366,53586077,+,lncRNA,,LOC124902937,uncharacterized LOC124902937,124902937
chr12,NC_000012.12,53574586,53576106,+,pseudogene,,LOC100419830,zinc finger protein 337 pseudogene,100419830
chr12,NC_000012.12,53632813,53633178,-,pseudogene,,RPL31P51,ribosomal protein L31 pseudogene 51,100271475
chr12,NC_000012.12,53641555,53642938,-,lncRNA,,LOC124902938,uncharacterized LOC124902938,124902938
chr12,NC_000012.12,53665170,53681423,-,protein_coding,,ATP5MC2,ATP synthase membrane subunit c locus 2,517
chr12,NC_000012.12,53708517,53727452,-,protein_coding,,CALCOCO1,calcium binding and coiled-coil domain 1,57658
chr12,NC_000012.12,53726579,53731227,+,lncRNA,,LOC105369774,uncharacterized LOC105369774,105369774
chr12,NC_000012.12,53739594,53898384,+,lncRNA,,LOC105378250,uncharacterized LOC105378250,105378250
chr12,NC_000012.12,53746337,53757034,-,lncRNA,,CISTR,chondrogenesis-associated transcript,102216268
chr12,NC_000012.12,53816185,53816479,+,pseudogene,,RN7SKP289,RN7SK pseudogene 289,106479224
chr12,NC_000012.12,53935328,53939643,-,lncRNA,,HOXC13-AS,HOXC13 antisense RNA,100874366
chr12,NC_000012.12,53938831,53946544,+,protein_coding,,HOXC13,homeobox C13,3229
chr12,NC_000012.12,53953385,53956427,-,lncRNA,,LOC105369775,uncharacterized LOC105369775,105369775
chr12,NC_000012.12,53954903,53958956,+,protein_coding,,HOXC12,homeobox C12,3228
chr12,NC_000012.12,53962312,53974954,-,lncRNA,,HOTAIR,HOX transcript antisense RNA,100124700
chr12,NC_000012.12,53973126,53977643,+,protein_coding,,HOXC11,homeobox C11,3227
chr12,NC_000012.12,53983951,53985519,-,lncRNA,,HOXC-AS3,HOXC cluster antisense RNA 3,100874365
chr12,NC_000012.12,53985146,53990279,+,protein_coding,,HOXC10,homeobox C10,3226
chr12,NC_000012.12,53991738,53991847,+,miRNA,,MIR196A2,microRNA 196a-2,406973
chr12,NC_000012.12,53995208,53996785,-,lncRNA,,HOXC-AS2,HOXC cluster antisense RNA 2,100874364
chr12,NC_000012.12,53999022,54000010,-,lncRNA,,HOXC-AS1,HOXC cluster antisense RNA 1,100874363
chr12,NC_000012.12,54000161,54003337,+,protein_coding,,HOXC9,homeobox C9,3225
chr12,NC_000012.12,54008985,54012769,+,protein_coding,,HOXC8,homeobox C8,3224
chr12,NC_000012.12,54016013,54017747,-,lncRNA,,LOC124902939,uncharacterized LOC124902939,124902939
chr12,NC_000012.12,54016888,54056030,+,protein_coding,,HOXC4,homeobox C4,3221
chr12,NC_000012.12,54016888,54035361,+,protein_coding,,HOXC5,homeobox C5,3222
chr12,NC_000012.12,54016888,54030823,+,protein_coding,,HOXC6,homeobox C6,3223
chr12,NC_000012.12,54033950,54034045,+,miRNA,,MIR615,microRNA 615,693200
chr12,NC_000012.12,54058254,54122234,+,lncRNA,,FLJ12825,uncharacterized LOC440101,440101
chr12,NC_000012.12,54078839,54081823,-,lncRNA,,LOC100240735,uncharacterized LOC100240735,100240735
chr12,NC_000012.12,54102209,54102699,+,lncRNA,,LOC100240734,uncharacterized LOC100240734,100240734
